PUMP NAME: template
PRICE: 99999  					# in USD
ELECTRICAL ARCHITECTURE: permanent_magnet	
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
30	14.7	15.2	40	455	21.4
30	14	15.3	57.5	460	29
30	13	15.5	75.5	465	35.5
30	11.3	15.7	100	470	40.1
30	10.5	15.8	111.2	475	40.7
30	10	16	116.7	480	40.7
30	9.8	16.2	120	485	40.4
30	9	16.2	126.7	485	39.2
30	8	16.2	135	485	37
30	7	16.2	143.3	485	34.6
30	4.9	16.3	160	490	26.5
30	4	16.3	168.3	490	23
30	3	16.5	178.3	495	18.1
30	2	16.5	188.3	495	13.8
30	1	16.7	200	500	6.5
24	1	16.67	200	400	7.5
24	1.2	16.25	180	390	9.2
24	3.9	15.83	150	380	25
24	9	15	100	360	30
24	12	14.58	50	350	28
24	13.5	14.17	16.7	340	11
36	1	13.89	200	500	nan
36	4.9	13.61	160	490	nan
36	10	13.33	116.7	480	nan
36	14	12.78	57.5	460	nan
36	14.7	12.5	40	455	nan
36	1	11.11	200	400	7.5
36	1.2	10.83	180	390	9.2
36	3.9	10.56	150	380	25
36	9	10	100	360	30

